Genre,Number of Reviews,Rating,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
Music & Audio,169,1.8,15.0,3.0,0.0,0.0,3,12,7,2019,10000,4.4,0
Music,1190207,4.1,71.0,1.0,85.0,6300.0,3,6,15,2020,100000000,5.0,2
Medical,11,5.0,2.2,1.0,0.0,0.0,3,6,8,2017,5000,4.0.3,0
Music & Audio,844,4.1,4.8,1.0,200.0,200.0,12,8,8,2019,100000,5.0,3
Lifestyle,753,4.0,27.0,1.0,0.0,0.0,12,8,27,2019,50000,4.0.3,0
Racing,3670,4.0,21.0,0.0,0.0,0.0,3,3,20,2020,1000000,4.1,0
Racing,41465,3.9,28.0,0.0,0.0,0.0,3,4,21,2020,10000000,4.2,0
Action,1919527,4.0,14.0,3.0,269.0,7900.0,16,5,16,2014,10000000,2.1,2
Role Playing,537152,4.5,77.0,1.0,49.9,5500.0,12,5,13,2020,10000000,4.0.3,3
Tools,39,4.5,-1.0,-1.0,0.0,0.0,3,5,22,2020,1000,-1,1
Education,2191,3.7,30.0,0.0,60.0,650.0,3,6,25,2020,1000000,4.1,2
Education,72588,4.1,76.0,3.0,10.0,2250.0,3,6,25,2020,50000000,4.1,2
Tools,245848,4.5,6.3,1.0,0.0,0.0,3,12,7,2017,5000000,4.1,0
Tools,109036,4.1,-1.0,-1.0,0.0,0.0,3,6,27,2020,100000000,8.0,0
Productivity,5792696,4.3,-1.0,-1.0,65.0,69600.0,3,6,24,2020,5000000000,-1,3
Business,7675,3.5,12.0,2020.0,0.0,0.0,3,6,25,2020,1000000,5.0,1
Health & Fitness,370701,3.9,-1.0,-1.0,0.0,0.0,3,6,25,2020,50000000,-1,0
Productivity,234841,4.1,1.3,0.0,0.0,0.0,3,3,9,2018,50000000,5.0,0
Tools,544840,4.3,-1.0,-1.0,0.0,0.0,3,4,19,2018,100000000,-1,0
Travel & Local,80024,4.2,116.0,137.0,0.0,0.0,3,6,17,2020,100000000,4.4,4
Tools,374,1.8,-1.0,1.0,0.0,0.0,3,6,2,2020,10000000,5.0,0
Tools,2988334,4.6,11.0,1.0,0.0,0.0,3,6,25,2020,500000000,5.0,1
Finance,4653847,4.3,14.0,-1.0,0.0,0.0,3,6,18,2020,100000000,5.0,0
Photography,26442494,4.5,-1.0,-1.0,0.0,0.0,3,6,26,2020,1000000000,-1,0
Social,6232766,4.1,-1.0,11.0,0.0,0.0,12,5,19,2020,1000000000,5.0,5
Tools,375012,4.3,-1.0,-1.0,0.0,0.0,3,6,18,2020,100000000,-1,5
Communication,5864853,4.5,-1.0,-1.0,0.0,0.0,3,6,24,2020,1000000000,-1,1
Tools,7177042,4.5,-1.0,-1.0,0.0,0.0,3,6,5,2020,500000000,-1,0
Video Players & Editors,872476,4.3,-1.0,-1.0,0.0,0.0,12,6,11,2020,50000000,-1,1
Music & Video,1110595,4.3,-1.0,-1.0,0.0,0.0,3,6,25,2020,100000000,-1,1
Music & Audio,1268927,4.3,-1.0,-1.0,0.0,0.0,12,6,26,2020,100000000,-1,3
Tools,192735,4.4,2.6,7.0,0.0,0.0,3,10,7,2019,500000000,6.0,0
Tools,292406,4.2,-1.0,-1.0,0.0,0.0,3,6,9,2020,500000000,-1,0
Communication,7366301,4.4,-1.0,-1.0,0.0,0.0,3,6,22,2020,5000000000,-1,1
Communication,34134,4.4,9.9,8.0,0.0,0.0,3,6,6,2018,100000000,0,1
Tools,15290540,4.3,-1.0,-1.0,0.0,0.0,3,6,26,2020,5000000000,-1,5
Tools,5822747,4.5,-1.0,-1.0,0.0,0.0,3,6,25,2020,1000000000,-1,0
Tools,100,2.7,-1.0,-1.0,0.0,0.0,3,6,17,2020,10000000,6.0,5
Music & Audio,4751111,4.2,-1.0,-1.0,0.0,0.0,12,5,26,2020,5000000000,-1,3
Entertainment,10881654,4.4,-1.0,-1.0,0.0,0.0,12,5,26,2020,1000000000,-1,3
Communication,4621827,4.1,-1.0,-1.0,0.0,0.0,3,6,11,2020,1000000000,-1,5
Entertainment,254,2.5,5.0,1.0,0.0,0.0,3,6,8,2020,5000000,6.0,0
Video Players & Editors,1428241,4.0,-1.0,-1.0,0.0,0.0,12,5,26,2020,5000000000,-1,2
Tools,3338754,4.3,-1.0,83.0,0.0,0.0,3,6,17,2020,1000000000,-1,0
Video Players & Editors,75345388,4.2,-1.0,-1.0,0.0,0.0,12,6,26,2020,5000000000,-1,3
Entertainment,872,1.9,-1.0,2.0,0.0,0.0,12,6,15,2020,50000000,5.0,1
Travel & Local,2604388,4.4,-1.0,-1.0,0.0,0.0,3,6,18,2020,100000000,-1,1
Entertainment,784795,3.0,-1.0,-1.0,10.0,1400.0,12,6,26,2020,100000000,-1,3
Social,451111,3.5,32.0,6.0,29.99,19800.0,18,6,22,2020,10000000,4.4,7
Shopping,454487,4.1,14.0,5.0,0.0,0.0,3,6,21,2020,10000000,4.1,0
Action,719859,4.1,99.0,5.0,20.0,9500.0,16,5,5,2020,100000000,4.1,0
Tools,40,4.2,1.6,2.0,0.0,0.0,3,9,30,2019,10000,4.4,0
Tools,3089,4.3,1.9,10.0,0.0,0.0,3,6,18,2020,1000000,4.0,4
Arcade,5266273,4.3,-1.0,2.0,29.0,3261.41,3,6,8,2020,100000000,4.1,2
Video Players & Editors,26,4.5,17.0,1.0,0.0,0.0,3,6,22,2020,5000,5.0,0
Photography,573720,4.6,3.3,-1.0,0.0,0.0,3,4,30,2020,50000000,-1,0
Entertainment,368,2.0,48.0,1.0,480.0,24500.0,18,6,12,2020,50000,5.0,4
Social,5,5.0,15.0,1.0,0.0,0.0,3,5,7,2020,1000,4.4,0
Video Players & Editors,15502,4.7,4.5,1.0,0.0,0.0,3,3,2,2019,1000000,4.2,0
Music & Audio,4426,4.4,3.6,1.0,0.0,0.0,12,1,7,2020,500000,4.1,0
Sports,18626,3.9,59.0,211.0,15.0,10000.0,12,6,26,2020,1000000,5.0,4
Education,38,4.5,6.9,4.0,0.0,0.0,3,3,12,2020,1000,5.0,0
Strategy,15438,4.5,33.0,1.0,130.0,650.0,7,6,3,2019,500000,4.0.3,3
Photography,550519,4.5,11.0,8.0,100.0,500.0,3,12,16,2019,10000000,4.1,0
Lifestyle,448330,4.8,22.0,14.0,0.0,0.0,3,6,24,2020,10000000,5.0,0
Video Players & Editors,118,1.9,9.1,4.0,0.0,0.0,3,1,9,2017,10000,2.3.3,0
Business,63,2.5,50.0,3.0,0.0,0.0,3,1,14,2020,10000,5.0,0
Business,162,3.6,26.0,15.0,0.0,0.0,3,9,27,2019,10000,4.4,0
Music & Audio,60385,4.6,16.0,3.0,170.0,170.0,3,6,12,2020,1000000,4.0.3,3
Tools,162706,4.1,22.0,9.0,0.0,0.0,3,3,19,2020,10000000,4.3,0
Entertainment,750044,4.4,59.0,1.0,90.0,17900.0,7,6,25,2020,10000000,4.4,3
Education,2196,4.5,8.4,3.0,0.0,0.0,3,10,20,2019,50000,5.0,0
Shopping,476,3.6,11.0,2.0,0.0,0.0,3,6,19,2020,100000,4.0.3,6
Business,20,2.7,32.0,2.0,0.0,0.0,3,6,4,2020,5000,5.0,0
Strategy,5133496,4.1,75.0,2.0,10.0,15500.0,7,6,12,2020,100000000,4.0.3,4
Photography,174,3.6,7.7,1.0,0.0,0.0,3,4,8,2016,10000,4.0,0
Photography,254204,4.4,-1.0,-1.0,200.0,200.0,3,6,25,2020,10000000,-1,0
Action,9181266,4.3,100.0,1.0,85.0,4200.0,7,6,26,2020,500000000,4.1,3
Communication,6227360,4.2,-1.0,-1.0,61.23,26000.0,12,6,20,2020,500000000,-1,1
Health & Fitness,132,3.3,11.0,1.0,0.0,0.0,3,3,8,2019,10000,4.4,0
Finance,188517,4.0,-1.0,7.0,0.0,0.0,3,6,5,2020,5000000,4.4,0
Business,13,4.5,37.0,3.0,0.0,0.0,3,5,7,2020,5000,5.0,0
Finance,2231,4.2,18.0,1.0,0.0,0.0,3,5,27,2019,100000,4.1,0
Maps & Navigation,16941,3.9,5.6,1.0,0.0,0.0,3,6,19,2020,1000000,4.1,0
Art & Design,7,4.4,7.5,1.0,0.0,0.0,3,12,14,2019,10000,4.0.3,0
Social,101697431,4.5,-1.0,-1.0,90.0,450.0,12,6,23,2020,1000000000,-1,9
Sports,23565,4.0,30.0,1.0,170.0,2500.0,12,6,24,2020,10000000,4.1,3
Productivity,2820511,4.2,-1.0,-1.0,65.0,26000.0,3,6,18,2020,100000000,-1,4
Art & Design,41143,4.6,-1.0,-1.0,0.0,0.0,3,6,4,2020,1000000,-1,0
Art & Design,47119,4.5,-1.0,-1.0,0.0,0.0,3,6,27,2020,1000000,-1,0
Art & Design,46241,4.5,5.3,2.0,0.0,0.0,3,6,25,2020,1000000,5.0,0
Art & Design,10706,4.2,9.0,1.0,139.99,139.99,3,11,8,2019,1000000,4.1,0
Health & Fitness,237,2.6,5.9,1.0,0.0,0.0,3,6,10,2020,10000,4.4,0
Personalization,111881,4.5,16.0,1.0,10.0,94.79,3,6,24,2020,10000000,4.0.3,2
Education,539,4.8,19.0,1.0,0.0,0.0,3,1,5,2019,5000,4.1,1
Tools,16469,3.9,3.6,2.0,0.0,0.0,3,3,23,2020,1000000,4.1,0
Personalization,130,4.2,7.8,11.0,0.0,0.0,3,7,7,2011,10000,2.1,0
Social,1161099,4.4,40.0,7.0,74.99,4499.0,18,6,19,2020,50000000,5.0,7
Dating,353565,4.4,41.0,7.0,74.99,21999.0,18,6,19,2020,10000000,5.0,7
Tools,6,3.7,7.3,1.0,0.0,0.0,3,5,2,2019,1000,4.3,0
Photography,37471,4.5,50.0,1.0,0.0,0.0,12,11,5,2019,5000000,4.3,1
Personalization,1758,3.9,5.8,1.0,0.0,0.0,3,1,28,2020,500000,4.4,0
Photography,1151604,4.6,68.0,4.0,10.0,4100.0,12,6,8,2020,100000000,4.1,3
Music & Audio,42,4.1,3.8,1.0,0.0,0.0,12,3,21,2020,10000,4.1,0
Music & Audio,29,4.2,8.2,1.0,0.0,0.0,16,10,25,2019,10000,4.1,0
Music & Audio,18,4.8,129.0,1.0,0.0,0.0,16,2,2,2020,1000,5.0,0
Lifestyle,392,4.9,4.4,3.0,0.0,0.0,3,2,7,2020,50000,4.1,0
Music & Audio,201,4.6,28.0,1.0,0.0,0.0,3,12,12,2019,10000,4.1,0
Entertainment,501,3.6,-1.0,-1.0,0.0,0.0,3,12,12,2017,100000,4.0.3,0
Photography,225,1.9,9.2,1.0,0.0,0.0,3,9,26,2019,10000,5.0,0
Role Playing,33622,3.9,77.0,1.0,820.0,9800.0,12,5,4,2020,10000000,4.4,0
Entertainment,2965944,4.1,14.0,6.0,0.0,0.0,3,6,17,2020,100000000,4.4,0
Communication,1217854,3.6,-1.0,5.0,0.0,0.0,3,3,4,2020,100000000,4.4,5
Music & Audio,2357917,4.0,-1.0,-1.0,30.0,2700.0,3,6,22,2020,100000000,-1,0
Entertainment,767433,4.2,14.0,1.0,0.0,0.0,12,6,16,2020,50000000,4.4,5
Entertainment,8,3.5,5.4,1.0,0.0,0.0,12,8,19,2019,500000,5.1,4
Productivity,8300104,4.4,46.0,6.0,0.0,0.0,3,6,20,2020,100000000,5.0,0
Education,24,4.6,6.6,1.0,0.0,0.0,3,4,28,2020,1000,6.0,0
Lifestyle,8669,4.6,15.0,4.0,25.0,25.0,3,6,24,2020,500000,4.2,0
Adventure,38330,4.3,61.0,1.0,90.0,8900.0,7,6,25,2020,1000000,4.1,4
Action,197860,4.2,67.0,9.0,90.0,8900.0,7,6,25,2020,10000000,4.1,4
News & Magazines,114059,4.1,-1.0,-1.0,10.0,550.0,3,6,22,2020,5000000,-1,0
Sports,932665,4.3,-1.0,-1.0,40.0,6000.0,7,12,11,2019,100000000,-1,2
Health & Fitness,6219,3.3,3.7,22.0,0.0,0.0,3,3,15,2016,1000000,4.0.3,0
Finance,1196,4.5,81.0,1.0,0.0,0.0,3,6,13,2020,100000,5.0,0
Finance,10831,4.3,20.0,1.0,0.0,0.0,3,11,20,2019,1000000,4.0.3,0
Finance,3945,3.4,66.0,1.0,0.0,0.0,3,6,24,2020,1000000,4.4,0
Casual,265813,4.1,40.0,6.0,0.0,0.0,3,5,20,2020,50000000,4.1,3
Photography,1732073,4.3,-1.0,10.0,50.0,20500.0,3,6,4,2020,50000000,5.1,2
Arcade,33085721,4.4,129.0,2.0,70.0,7900.0,3,6,25,2020,1000000000,4.4,0
Casual,28910614,4.6,-1.0,-1.0,29.0,11900.0,3,6,12,2020,1000000000,4.1,7
Strategy,130033,4.0,100.0,2.0,79.0,7900.0,7,6,1,2020,10000000,4.1,3
Health & Fitness,87,4.7,6.8,1.0,0.0,0.0,3,6,11,2020,5000,4.3,0
Health & Fitness,45,4.8,8.0,3.0,0.0,0.0,3,6,27,2020,500,4.1,4
Simulation,1406,3.7,21.0,1.0,170.0,170.0,3,5,6,2020,100000,4.1,0
Entertainment,832,4.3,7.6,1.0,0.0,0.0,3,6,13,2020,10000,4.2,0
House & Home,6,3.8,10.0,2.0,0.0,0.0,3,1,17,2020,1000,4.4,0
Education,210,3.3,6.7,2.0,200.0,200.0,3,2,11,2020,50000,4.1,3
Productivity,189,3.2,6.7,2.0,360.0,360.0,3,3,15,2020,10000,4.1,2
Lifestyle,12,4.2,5.1,2.0,0.0,0.0,12,11,8,2019,1000,4.2,0
News & Magazines,44,4.6,22.0,0.0,0.0,0.0,3,10,14,2019,5000,5.0,0
Education,8,5.0,7.3,1.0,0.0,0.0,3,5,16,2020,100,5.0,0
Tools,1570,4.2,28.0,1.0,85.0,85.0,3,6,24,2020,100000,4.1,3
Entertainment,167383,4.2,39.0,2.0,0.0,0.0,12,6,22,2020,50000000,4.4,5
Video Players & Editors,986054,4.3,47.0,2.0,80.0,8000.0,12,6,23,2020,100000000,4.3,8
Personalization,13,4.4,5.6,1.0,0.0,0.0,3,8,17,2018,10000,4.0.3,0
Education,199135,4.6,29.0,34.0,40.0,15000.0,3,6,26,2020,1000000,4.4,3
Tools,20821,4.5,8.7,8.0,330.0,1800.0,3,4,25,2020,1000000,4.4,0
Tools,8452,4.4,9.4,8.0,330.0,1800.0,3,6,12,2020,500000,4.4,2
Personalization,26552,4.3,3.7,1.0,0.0,0.0,3,5,22,2018,1000000,4.0,0
Entertainment,615,4.5,4.3,1.0,0.0,0.0,12,10,23,2019,50000,4.0.3,0
Entertainment,105,4.6,4.7,1.0,0.0,0.0,12,2,1,2020,10000,4.0.3,0
Entertainment,102,4.8,5.3,1.0,0.0,0.0,12,2,9,2020,5000,4.0.3,0
Entertainment,356,4.7,5.1,1.0,0.0,0.0,12,2,12,2020,10000,4.0.3,0
Entertainment,10,4.4,5.0,1.0,0.0,0.0,12,2,15,2020,1000,4.0.3,0
Personalization,172,4.3,5.6,1.0,0.0,0.0,3,3,17,2020,50000,4.1,0
Social,559265,4.4,8.6,4.0,150.0,150.0,3,6,27,2020,50000000,5.0,0
Personalization,4430596,4.5,-1.0,4.0,30.0,330.0,3,6,24,2020,100000000,-1,0
Tools,14331249,4.1,35.0,5.0,0.0,0.0,3,6,20,2020,1000000000,4.1,1
Lifestyle,517,4.1,8.2,11.0,0.0,0.0,3,6,26,2018,100000,4.0.3,1
Entertainment,2337,2.6,5.8,1.0,0.0,0.0,3,4,26,2019,500000,4.1,0
Entertainment,1506,3.6,16.0,1.0,0.0,0.0,3,6,23,2020,500000,4.2,5
Photography,6622962,4.3,-1.0,-1.0,0.0,0.0,3,6,26,2020,500000000,-1,0
Communication,119174,4.0,-1.0,2.0,0.0,0.0,3,5,18,2020,10000000,4.1,1
Entertainment,56,4.7,16.0,1.0,0.0,0.0,3,12,4,2019,1000,4.1,0
Tools,188295,4.5,7.0,4.0,80.0,1280.0,3,5,18,2020,10000000,4.4,0
Strategy,872573,4.0,-1.0,1.0,85.0,26000.0,12,6,26,2020,50000000,-1,4
Shopping,1234,2.9,6.0,4.0,0.0,0.0,3,5,11,2020,1000000,4.4,1
Lifestyle,54948,4.0,74.0,7.0,0.0,0.0,3,6,10,2020,5000000,4.1,0
Lifestyle,858,3.9,20.0,1.0,0.0,0.0,3,4,23,2020,500000,4.1,0
Board,5528640,4.1,44.0,5.0,10.0,13500.0,3,5,29,2020,100000000,4.1,4
Personalization,230307,4.6,10.0,6.0,95.0,399.0,12,2,26,2020,5000000,5.0,4
Photography,136455,4.4,-1.0,1.0,0.0,0.0,3,5,17,2020,10000000,-1,0
Social,140,4.3,8.2,3.0,0.0,0.0,3,2,6,2019,10000,4.1,0
Weather,1289056,4.4,-1.0,5.0,50.0,250.06,3,4,15,2019,10000000,4.0,2
Role Playing,2147694,4.8,104.0,1.0,65.0,6700.0,12,6,26,2020,10000000,4.0,2
Business,1613,4.8,18.0,2.0,0.0,0.0,3,6,24,2020,50000,4.1,0
Finance,896,4.2,10.0,2.0,0.0,0.0,3,6,5,2020,50000,4.4,0
Entertainment,176174,4.0,14.0,1.0,90.0,5500.0,12,6,20,2020,10000000,5.0,4
Racing,379891,3.9,114.0,1.0,20.0,3487.99,12,6,23,2020,50000000,4.1,2
Arcade,249635,4.2,27.0,1.0,95.0,1300.0,3,6,17,2020,50000000,4.1,0
Productivity,5142,4.4,2.4,1.0,63.02,63.02,3,5,10,2015,1000000,4.3,2
Music & Audio,1337179,4.4,-1.0,-1.0,0.0,0.0,3,6,13,2020,50000000,5.0,0
Music & Audio,46453,4.7,7.4,4.0,53.55,272.4,12,6,2,2020,1000000,4.1,3
Music & Audio,6602,4.5,7.1,4.0,190.0,190.0,12,3,6,2020,100000,4.1,3
Communication,727154,2.9,57.0,0.0,0.0,0.0,3,3,21,2019,10000000,5.0,6
Tools,1841,4.2,15.0,2.0,0.0,0.0,3,3,16,2020,100000,4.1,4
Photography,850941,4.4,62.0,5.0,0.0,0.0,3,5,27,2020,50000000,4.4,0
Puzzle,3150,4.3,47.0,1.0,0.0,0.0,3,6,11,2020,500000,4.1,3
Puzzle,226,4.4,47.0,1.0,0.0,0.0,3,6,24,2020,10000,4.1,3
Business,309,4.1,91.0,4.0,0.0,0.0,3,6,22,2020,50000,5.0,0
Action,742374,4.1,87.0,4.0,15.0,8300.0,18,6,25,2020,50000000,4.4,3
Simulation,1078866,4.1,92.0,4.0,15.0,8100.0,18,5,18,2020,100000000,4.1,3
Auto & Vehicles,555,4.7,109.0,2.0,7900.0,19600.0,3,6,19,2020,10000,4.4,0
Entertainment,60,3.3,6.9,1.0,0.0,0.0,3,5,24,2020,10000,4.4,0
Productivity,2826,3.9,5.0,2.0,0.0,0.0,3,8,13,2019,5000000,5.0,5
Communication,178664,4.5,-1.0,-1.0,0.0,0.0,3,6,24,2020,10000000,4.4,6
Productivity,4956793,4.4,-1.0,16.0,61.49,470.0,3,6,16,2020,1000000000,6.0,3
Sports,470940,3.9,71.0,1.0,34.0,6770.12,3,4,4,2020,50000000,4.1,2
Sports,2123445,4.3,-1.0,-1.0,49.0,5500.0,3,5,28,2020,100000000,4.1,2
Sports,19089867,4.4,59.0,4.0,10.0,6770.12,3,6,25,2020,500000000,4.1,2
Shopping,92,3.8,35.0,1.0,0.0,0.0,3,6,5,2020,10000,5.0,0
Finance,3362,4.3,4.0,1.0,0.0,0.0,3,8,22,2019,100000,4.1,0
Entertainment,282,3.4,14.0,10.0,0.0,0.0,3,7,24,2019,100000,4.0.3,1
Tools,939,3.0,-1.0,-1.0,0.0,0.0,3,4,23,2019,100000,4.0.3,0
Video Players & Editors,101,2.4,56.0,3.0,0.0,0.0,3,3,25,2020,10000,4.1,3
Medical,39,3.7,86.0,3.0,0.0,0.0,3,2,27,2019,10000,4.4,0
Medical,21,4.1,-1.0,4.0,0.0,0.0,3,6,2,2020,5000,6.0,0
Education,169,4.2,5.4,1.0,0.0,0.0,3,2,16,2020,10000,4.0.3,0
Music & Audio,102,4.5,83.0,3.0,0.0,0.0,16,12,21,2019,5000,4.1,0
Finance,232,3.9,13.0,5.0,0.0,0.0,3,11,22,2019,10000,4.2,0
Business,5256,3.8,19.0,51.0,0.0,0.0,3,6,18,2020,100000,4.1,4
Finance,25028,4.1,20.0,1.0,0.0,0.0,3,5,9,2020,1000000,4.3,0
Action,20196973,4.2,99.0,-1.0,10.0,7900.0,7,6,22,2020,100000000,4.1,3
Finance,26162,3.6,-1.0,-1.0,0.0,0.0,3,4,30,2020,1000000,-1,0
Video Players & Editors,2009159,4.2,15.0,5.0,0.0,0.0,12,6,23,2020,100000000,5.0,1
Education,15,4.3,17.0,1.0,0.0,0.0,3,7,15,2019,1000,4.0,2
Board,19597,4.2,13.0,1.0,120.0,6200.0,3,11,20,2019,10000000,4.1,4
Business,869893,4.4,-1.0,-1.0,58.19,4200.0,3,6,24,2020,100000000,-1,3
Personalization,14363,4.0,6.1,3.0,0.0,0.0,3,6,24,2020,1000000,4.0.3,0
News & Magazines,54,4.5,8.4,1.0,80.0,80.0,3,2,8,2020,10000,4.1,0
Travel & Local,414526,4.5,17.0,17.0,0.0,0.0,3,5,1,2020,10000000,4.1,0
Travel & Local,3420,4.3,1.8,92.0,0.0,0.0,3,5,27,2017,1000000,2.3,0
Tools,6492,4.5,12.0,6.0,890.0,1150.0,3,6,23,2020,500000,4.0,3
Health & Fitness,19023,4.0,34.0,8.0,0.0,0.0,3,6,24,2020,1000000,6.0,0
Casual,3349757,4.4,-1.0,-1.0,10.0,25000.0,12,6,24,2020,100000000,4.1,3
Board,818448,4.4,-1.0,1.0,10.0,25000.0,3,6,27,2020,50000000,4.1,4
Tools,1474,3.9,3.8,2.0,0.0,0.0,3,3,4,2020,5000000,5.0,2
Music & Audio,355,4.9,6.3,1.0,220.0,220.0,3,3,3,2020,100000,4.1,0
Music & Audio,65,4.6,88.0,1.0,0.0,0.0,3,7,2,2019,10000,4.0,0
Music & Audio,1075692,4.6,-1.0,-1.0,130.0,130.0,3,3,6,2020,50000000,-1,3
Business,71,3.4,8.3,5.0,0.0,0.0,3,3,16,2020,10000,6.0,0
Video Players & Editors,9210206,4.4,-1.0,-1.0,0.0,0.0,3,6,23,2020,500000000,-1,0
Shopping,2786944,4.4,-1.0,-1.0,0.0,0.0,3,6,9,2020,50000000,-1,0
Dating,48,4.0,8.4,1.0,0.0,0.0,18,10,30,2017,10000,4.4,1
News & Magazines,258867,4.6,52.0,4.0,0.0,0.0,3,1,8,2020,10000000,5.0,1
Social,9241,4.7,101.0,2.0,0.0,0.0,18,12,13,2019,100000,4.1,8
Social,26394,4.4,100.0,2.0,0.0,0.0,12,12,13,2019,100000,4.1,5
Social,784,4.1,100.0,2.0,0.0,0.0,12,12,13,2019,50000,4.1,5
Social,4841,4.0,100.0,2.0,0.0,0.0,12,12,13,2019,100000,4.1,5
Casual,1369676,4.5,9.9,1.0,53.14,6010.4,3,7,14,2019,10000000,2.3.3,6
Entertainment,682622,4.6,-1.0,-1.0,75.0,3700.0,12,6,19,2020,50000000,-1,1
Entertainment,122439,4.3,14.0,3.0,0.0,0.0,12,4,28,2020,10000000,4.1,5
Role Playing,20365,4.4,78.0,1.0,70.0,7400.0,12,6,18,2020,500000,4.2,3
Action,581402,4.0,98.0,1.0,70.0,6700.0,12,6,23,2020,10000000,4.1,3
Adventure,493272,3.4,80.0,1.0,65.0,6500.0,16,5,27,2020,10000000,4.4,1
Entertainment,9183299,4.4,56.0,7.0,500.0,821.73,12,6,25,2020,500000000,5.0,0
Entertainment,659,2.4,-1.0,-1.0,0.0,0.0,12,6,18,2020,10000000,-1,0
Business,1169559,4.4,-1.0,6.0,80.0,2500.0,3,6,15,2020,50000000,-1,3
Education,152,4.2,5.4,1.0,0.0,0.0,3,5,30,2020,10000,5.0,0
Photography,676540,4.5,46.0,5.0,0.0,0.0,12,6,23,2020,50000000,4.4,4
Education,6,4.7,18.0,4.0,0.0,0.0,3,4,22,2020,100,4.4,0
Role Playing,184019,4.4,93.0,0.0,65.0,6300.0,7,2,27,2020,1000000,4.0,3
Role Playing,66241,3.6,66.0,1.0,85.0,6900.0,7,6,24,2020,1000000,4.4,1
Video Players & Editors,2786301,4.4,87.0,4.0,56.11,2321.66,3,5,27,2020,100000000,5.0,3
Adventure,13347738,4.1,-1.0,0.0,29.0,7900.0,3,6,25,2020,100000000,5.0,11
Education,21729,4.0,9.6,12.0,0.0,0.0,3,6,24,2020,500000,4.1,0
Libraries & Demo,17,3.5,17.0,1.0,0.0,0.0,3,3,4,2020,1000,5.0,0
Productivity,190348,4.5,19.0,2.0,0.0,0.0,3,6,22,2020,10000000,4.1,0
Photography,1181775,4.5,-1.0,-1.0,0.0,0.0,3,4,14,2020,100000000,-1,0
Action,1480069,3.6,-1.0,3.0,799.0,799.0,3,12,19,2019,100000000,4.4,2
Role Playing,154,3.8,95.0,0.0,0.0,0.0,12,1,1,2018,5000,4.0,0
Social,98,4.5,13.0,6.0,0.0,0.0,16,11,4,2018,10000,4.0.3,0
Action,76006,4.0,89.0,2.0,15.0,9600.0,18,5,28,2020,10000000,4.1,0
Music & Audio,30,4.1,1.4,1.0,60.0,310.0,3,8,8,2018,5000,4.0.3,2
Tools,82,2.8,2.3,1.5,0.0,0.0,3,6,9,2020,10000,4.3,0
Education,195,4.0,18.0,4.0,0.0,0.0,3,2,13,2020,5000,4.4,0
Music & Audio,22896,4.1,-1.0,-1.0,60.0,950.0,3,6,19,2020,5000000,-1,4
News & Magazines,1420,4.5,7.8,1.0,0.0,0.0,3,10,14,2019,50000,4.0,0
Card,230656,4.2,-1.0,-1.0,10.0,25000.0,3,4,17,2020,10000000,-1,4
Casino,1458801,4.3,-1.0,-1.0,10.0,26000.0,12,4,20,2020,50000000,-1,3
Personalization,2404661,4.5,-1.0,-1.0,90.0,1900.0,3,5,11,2020,100000000,-1,4
Action,500118,4.3,99.0,1.0,80.0,7900.0,12,6,19,2020,10000000,4.3,3
Racing,352453,4.3,-1.0,2.0,45.0,11900.0,3,6,11,2020,10000000,4.1,10
Maps & Navigation,1426132,3.9,26.0,5.0,0.0,0.0,3,6,24,2020,100000000,4.1,0
Shopping,2032688,4.2,14.0,14.0,0.0,0.0,12,6,20,2020,100000000,4.1,3
Action,62,3.3,73.0,1.0,85.0,85.0,16,4,8,2020,10000,4.2,0
Travel & Local,546,4.3,14.0,1.0,65.0,65.0,3,10,12,2019,50000,4.1,0
Lifestyle,3611,3.8,5.1,3.0,0.0,0.0,3,10,22,2019,500000,4.0,0
News & Magazines,255999,4.3,12.0,7.0,0.0,0.0,3,6,17,2020,50000000,-1,0
Communication,3277439,4.6,-1.0,-1.0,0.0,0.0,3,6,25,2020,100000000,-1,7
Communication,235179,4.5,-1.0,-1.0,0.0,0.0,3,6,26,2020,10000000,-1,7
Communication,6975659,4.4,-1.0,-1.0,0.0,0.0,3,5,30,2020,100000000,-1,7
Communication,602500,4.4,-1.0,-1.0,0.0,0.0,3,5,29,2020,50000000,-1,7
Education,154,4.6,14.0,1.0,0.0,0.0,3,4,18,2018,10000,4.1,2
Video Players & Editors,157827,4.1,71.0,12.0,0.0,0.0,3,5,29,2020,10000000,5.0,0
Tools,5393,4.3,9.7,6.0,170.0,1800.0,3,6,17,2020,500000,4.1,0
Music & Video,224970,4.5,52.0,2.0,270.0,270.0,3,6,19,2020,50000000,4.1,0
Communication,51,4.0,11.0,0.0,0.0,0.0,3,12,28,2019,5000,4.4,0
Action,57215,4.2,42.0,2.0,35.0,8300.0,3,6,5,2020,10000000,4.1,3
Education,3062,4.1,8.2,2.0,0.0,0.0,3,4,28,2020,100000,4.0,0
Action,509,3.5,72.0,1.0,160.0,8200.0,16,6,26,2019,50000,2.3,3
Entertainment,752044,4.1,47.0,2.0,85.0,1450.0,3,9,28,2019,100000000,4.4,3
Casual,12007966,4.2,93.0,4.0,85.0,8600.0,3,6,24,2020,500000000,4.4,3
